case,variant,regime,alpha,gap_pct,p_boot,bh_significant
us_west,lw,R1_lean,0.3,0.013727757664985974,0.442,False
us_west,baseline,R3_reference,0.5,0.03168697982212999,0.472,False
us_west,ablate-level,R3_reference,0.5,0.03168697984308346,0.472,False
us_west,lw,R3_reference,0.5,0.03166272806164376,0.472,False
us_west,ar1,R3_reference,0.75,-0.004841156832741124,0.506,False
taskC,baseline,R2_varcap,0.5,0.001438733430339762,0.508,False
taskC,lw,R2_varcap,0.5,0.0014382593652456036,0.508,False
us_west,seasonal,R3_reference,0.3,0.013213857221985864,0.51,False
us_west,ar1,R2_varcap,0.3,2.063025011804468e-07,0.538,False
us_west,ar1,R2_varcap,0.5,1.712212494369494e-08,0.544,False
us_west,baseline,R3_reference,0.75,-0.004999455018364744,0.584,False
us_west,lw,R3_reference,0.75,-0.005005857137108475,0.584,False
us_west,ablate-level,R3_reference,0.75,-0.004999455018052165,0.584,False
us_hetero,ar1,R2_varcap,0.75,0.0010880359960965668,0.602,False
us_west,seasonal,R1_lean,0.75,0.0018838305706283195,0.646,False
taskc,ablate-level,R1_lean,0.5,-0.0017948659319672225,0.662,False
taskc,baseline,R1_lean,0.5,-0.0017948661394577919,0.662,False
taskC,baseline,R1_lean,0.5,-0.0017948661394577919,0.662,False
taskc,baseline,R3_reference,0.5,-0.0017863708199265642,0.666,False
taskc,ablate-level,R3_reference,0.5,-0.0017863708085102538,0.666,False
taskC,baseline,R3_reference,0.5,-0.0017863708199265642,0.666,False
taskC,lw,R3_reference,0.5,-0.0017392212042981535,0.674,False
taskc,lw,R1_lean,0.5,-0.0017393537948667862,0.674,False
taskc,lw,R3_reference,0.5,-0.0017392212042981535,0.674,False
taskC,lw,R1_lean,0.5,-0.0017393537948667862,0.674,False
us_west,seasonal,R2_varcap,0.5,0.01793731404198402,0.742,False
us_west,seasonal,R3_reference,0.75,1.5010863946041123e-06,0.754,False
taskC,ar1,R3_reference,0.75,0.00041042363554271794,0.808,False
taskc,ar1,R3_reference,0.75,0.00041042363554271794,0.808,False
taskc,ar1,R1_lean,0.75,0.0004051882264976564,0.808,False
taskC,ar1,R1_lean,0.75,0.0004051882264976564,0.808,False
us_hetero,ar1,R2_varcap,0.3,0.007280442756401566,0.834,False
us_west,lw,R2_varcap,0.3,0.007940767635216525,0.902,False
us_west,ablate-level,R2_varcap,0.3,0.0079401131088366,0.902,False
us_west,baseline,R2_varcap,0.3,0.00794012522606779,0.902,False
us_west,ar1,R1_lean,0.3,0.0005900539634700317,0.92,False
us_west,baseline,R2_varcap,0.5,0.0050285723389518425,0.952,False
us_west,ablate-level,R2_varcap,0.5,0.0050285723604203926,0.952,False
us_west,lw,R2_varcap,0.5,0.005045577483059336,0.952,False
us_hetero,ablate-level,R3_reference,0.75,0.0013818419820206536,0.96,False
us_hetero,baseline,R3_reference,0.75,0.001381841981253171,0.96,False
us_hetero,lw,R3_reference,0.75,0.001382190291762639,0.96,False
us_hetero,ablate-level,R1_lean,0.75,0.0013829044216200701,0.964,False
us_hetero,baseline,R1_lean,0.75,0.001382904421633304,0.964,False
us_hetero,lw,R1_lean,0.75,0.0013829207964164523,0.964,False
us_west,seasonal,R2_varcap,0.3,0.003085386764038634,0.974,False
