grid,display,series,n_obs,pair,pearson_rho,chi_U_emp,chi_U_gauss,chi_U_excess,chi_L_emp
us_west,Western US,raw,43824,US-CAL-CISO | US-CAL-BANC,0.42593250715479114,0.3431909456005839,0.20190336652922564,0.14128757907135825,0.06982475355969327
us_west,Western US,residual,43824,US-CAL-CISO | US-NW-NEVP,0.7794074725319124,0.4262504563709379,0.4715691645399285,-0.045318708168990585,0.39384811975173384
us_west,Western US,residual,43824,US-CAL-CISO | US-SW-AZPS,0.6035563898180593,0.2596750638919311,0.3130718057675527,-0.0533967418756216,0.262413289521723
us_west,Western US,residual,43824,US-CAL-BANC | US-CAL-LDWP,0.6498032259741989,0.1711391018619933,0.34889545081553586,-0.17775634895354256,0.398868200073019
us_west,Western US,residual,43824,US-CAL-BANC | US-NW-NEVP,0.494204215773442,0.08032128514056217,0.2402991986497447,-0.15997791350918253,0.18619934282584868
us_west,Western US,residual,43824,US-CAL-BANC | US-SW-AZPS,0.2793210441713728,0.04974443227455271,0.13425275486515165,-0.08450832259059893,0.1346294267981014
us_west,Western US,residual,43824,US-CAL-LDWP | US-NW-NEVP,0.7097507777467527,0.2414202263599852,0.4009367102315228,-0.15951648387153758,0.2688024826579041
us_west,Western US,residual,43824,US-CAL-LDWP | US-SW-AZPS,0.42872520971496964,0.1433004746257757,0.20338057830003178,-0.06008010367425609,0.16246805403431894
us_west,Western US,residual,43824,US-NW-NEVP | US-SW-AZPS,0.5794844792565422,0.2747353048557865,0.29570817592275284,-0.020972871066966325,0.3997809419496163
taskc,Eastern US–Canada,raw,43824,CA-ON | US-NY-NYIS,0.7414572988955054,0.34775465498357033,0.4315302803140116,-0.08377562533044125,0.23001095290251894
taskc,Eastern US–Canada,raw,43824,CA-ON | US-MIDW-MISO,0.246090275805977,0.026925885359620278,0.12138731400112446,-0.09446142864150418,0.08853596202993785
taskc,Eastern US–Canada,raw,43824,CA-ON | US-MIDA-PJM,0.34848175372558055,0.10861628331507839,0.16384500565944857,-0.05522872234437018,0.12276378240233651
taskc,Eastern US–Canada,raw,43824,US-NY-NYIS | US-MIDW-MISO,0.32340981669186997,0.050657174151150015,0.15266236718740375,-0.10200519303625374,0.11546184738955813
taskc,Eastern US–Canada,raw,43824,US-NY-NYIS | US-MIDA-PJM,0.47716688064964125,0.2281854691493244,0.23025738391290165,-0.002071914763577265,0.15699160277473517
taskc,Eastern US–Canada,raw,43824,US-MIDW-MISO | US-MIDA-PJM,0.7064811359318678,0.42077400511135415,0.3979126213423264,0.022861383769027743,0.41529755385177036
taskc,Eastern US–Canada,residual,43824,CA-ON | US-NY-NYIS,0.7250054222658765,0.3760496531580865,0.41536049108586065,-0.03931083792777412,0.313070463672873
taskc,Eastern US–Canada,residual,43824,CA-ON | US-MIDW-MISO,0.2094390579868553,0.02236217597663379,0.10815797064933842,-0.08579579467270464,0.07530120481927705
taskc,Eastern US–Canada,residual,43824,CA-ON | US-MIDA-PJM,0.3269707496611178,0.10177071924059868,0.15421839616766672,-0.052447676927068046,0.09446878422782029
taskc,Eastern US–Canada,residual,43824,US-NY-NYIS | US-MIDW-MISO,0.297545728756963,0.042898868200072986,0.1416731051842944,-0.09877423698422141,0.09446878422782029
taskc,Eastern US–Canada,residual,43824,US-NY-NYIS | US-MIDA-PJM,0.46242282455278094,0.1734209565534865,0.22182018170421738,-0.04839922515073089,0.13919313618108786
taskc,Eastern US–Canada,residual,43824,US-MIDW-MISO | US-MIDA-PJM,0.6975140132123657,0.4262504563709379,0.38973622840041655,0.03651422797052134,0.4244249726177433
us_hetero,Diversified,raw,43824,US-CAL-CISO | US-TEX-ERCO,0.3092510726728464,0.13234757210660814,0.14657900188907988,-0.014231429782471744,0.17250821467688923
us_hetero,Diversified,raw,43824,US-CAL-CISO | US-NW-BPAT,0.2715053709178423,0.18209200438116085,0.13115050674194817,0.050941497639212685,0.08534136546184731
us_hetero,Diversified,raw,43824,US-TEX-ERCO | US-NW-BPAT,-0.018880825358485773,0.05248265790434461,0.04608520623440078,0.006397451669943828,0.009583789704271622
us_hetero,Diversified,residual,43824,US-CAL-CISO | US-TEX-ERCO,0.3266318828067368,0.11317999269806489,0.15406986616643512,-0.040889873468370225,0.06389193136181082
us_hetero,Diversified,residual,43824,US-CAL-CISO | US-NW-BPAT,0.329103215654059,0.09948886454910542,0.15515528534744125,-0.05566642079833582,0.2573932092004379
us_hetero,Diversified,residual,43824,US-TEX-ERCO | US-NW-BPAT,0.0004895293198480181,0.03514056224899595,0.050104211056187745,-0.014963648807191796,0.01506024096385541
